team_side,team_name,formation,player_id,player_name,full_name,position,jersey_number,is_starter,is_captain,country,substitute_in,substitute_out,rating,minutes_played,goals,assists,total_passes,accurate_passes,key_passes,total_crosses,accurate_crosses,total_long_balls,accurate_long_balls,big_chances_created,big_chances_missed,xg,xa,touches,possession_lost,dispossessed,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,tackles,interceptions,clearances,duels_won,duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls,offsides,saves,goals_prevented,yellow_cards,red_cards
away,Chaco For Ever,4-2-3-1,922459,A. Luque,Alan Luque,D,4,True,False,Argentina,,,6.9,90.0,0.0,0.0,19.0,15.0,1.0,3.0,1.0,6.0,5.0,,,0.01,0.01,28.0,8.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,860055,D. Valdez,David Valdez,D,2,True,False,Argentina,,,7.0,90.0,0.0,0.0,31.0,25.0,1.0,0.0,0.0,10.0,7.0,,,0.0,0.06,40.0,6.0,,0.0,,,0.0,0.0,0.0,1.0,1.0,7.0,5.0,3.0,3.0,0.0,1.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,1020990,M. Silvera,Mathias Silvera,D,6,True,False,Uruguay,,,6.7,90.0,0.0,0.0,35.0,28.0,,0.0,0.0,6.0,4.0,,,0.0,0.0,46.0,9.0,1.0,0.0,,,0.0,0.0,0.0,1.0,5.0,5.0,7.0,2.0,0.0,1.0,3.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,877903,L. Pruzzo,Lucas Pruzzo,D,3,True,False,Argentina,,63.0,6.3,68.0,0.0,0.0,12.0,6.0,,0.0,0.0,5.0,3.0,,,0.0,0.0,22.0,12.0,,0.0,,,1.0,0.0,0.0,1.0,1.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,,,1.0,
away,Chaco For Ever,4-2-3-1,1192491,S. Valenzuela,Santiago Valenzuela,M,8,True,False,Argentina,,45.0,6.4,51.0,0.0,0.0,10.0,4.0,,0.0,0.0,2.0,0.0,,,0.0,0.0,12.0,8.0,,0.0,,,0.0,0.0,0.0,,1.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,849139,G. Ramirez,Gabriel Ramirez,M,5,True,False,Argentina,,,7.1,90.0,0.0,0.0,40.0,31.0,,0.0,0.0,6.0,2.0,,,0.06,0.0,48.0,10.0,,1.0,,,0.0,0.0,0.0,3.0,3.0,6.0,4.0,3.0,0.0,1.0,1.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,922452,A. Lioi,Andrés Lioi,M,7,True,False,Argentina,,68.0,6.5,74.0,0.0,0.0,14.0,11.0,,1.0,1.0,2.0,1.0,,,0.0,0.0,21.0,6.0,,0.0,,,2.0,0.0,0.0,,0.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,843404,L. Marinucci,Leonardo Marinucci,M,10,True,False,Argentina,,63.0,6.7,68.0,0.0,0.0,15.0,12.0,,0.0,0.0,1.0,1.0,,,0.18,0.0,32.0,8.0,1.0,0.0,2.0,,3.0,2.0,0.0,1.0,0.0,8.0,12.0,3.0,1.0,1.0,1.0,1.0,,,,
away,Chaco For Ever,4-2-3-1,2045245,A. Ojeda,Agustín Ojeda,M,11,True,False,Argentina,,,6.4,90.0,0.0,0.0,25.0,16.0,,3.0,0.0,7.0,2.0,,,0.0,0.0,44.0,16.0,,0.0,,,2.0,1.0,1.0,1.0,1.0,13.0,17.0,4.0,3.0,2.0,4.0,0.0,,,1.0,
away,Chaco For Ever,4-2-3-1,789424,T. Bolzicco,Tomas Bolzicco,F,9,True,False,Argentina,,45.0,6.5,50.0,0.0,0.0,3.0,3.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,4.0,,0.0,,,0.0,0.0,0.0,,0.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,1185165,N. Caprio,Nicolás Caprio,G,12,False,False,Argentina,45.0,,6.6,44.0,0.0,0.0,10.0,9.0,,0.0,0.0,3.0,2.0,,,0.0,0.0,10.0,0.0,,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
away,Chaco For Ever,4-2-3-1,1018417,I. Enriquez,Imanol Enriquez,M,19,False,False,Argentina,45.0,,6.5,42.0,0.0,0.0,9.0,8.0,,0.0,0.0,0.0,0.0,,,0.01,0.0,17.0,4.0,,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,2.0,8.0,1.0,2.0,1.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,1182395,A. Alonso,Agustín Alonso,M,16,False,False,Argentina,63.0,,6.4,24.0,0.0,0.0,5.0,2.0,,0.0,0.0,1.0,0.0,,,0.01,0.0,13.0,8.0,,0.0,1.0,,2.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,83700,G. Pacheco,German Pacheco,F,20,False,False,Argentina,63.0,,6.5,24.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,0.01,0.0,6.0,3.0,,0.0,,1.0,3.0,1.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,815133,M. Noble,Matias Noble,M,18,False,False,Argentina,68.0,,6.7,19.0,0.0,0.0,12.0,7.0,1.0,3.0,0.0,1.0,0.0,,,0.0,0.01,21.0,8.0,2.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,
away,Chaco For Ever,4-2-3-1,898989,R. Zules,Raúl Zules Caicedo,D,13,False,False,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away,Chaco For Ever,4-2-3-1,936348,R. Garay,Ricardo Garay,D,14,False,False,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away,Chaco For Ever,4-2-3-1,1117056,J. C. Cerrudo,Juan Cruz Cerrudo,M,17,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
away,Chaco For Ever,4-2-3-1,979657,B. Nievas,Brian Nievas,M,15,False,False,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
